level,id,dataset,ie_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
wB97M-V__aug-cc-pVTZ,IE-IL174-123,IL174,-93.77917515,-93.286,-0.493175149,0.493175149
wB97M-V__aug-cc-pVTZ,IE-IL174-124,IL174,-80.46304626,-79.077,-1.386046264,1.386046264
wB97M-V__aug-cc-pVTZ,IE-IL174-125,IL174,-77.54549266,-76.355,-1.190492658,1.190492658
wB97M-V__aug-cc-pVTZ,IE-IL174-126,IL174,-78.15303598,-76.88,-1.273035982,1.273035982
wB97M-V__aug-cc-pVTZ,IE-IL174-127,IL174,-79.37275627,-78.17,-1.202756265,1.202756265
wB97M-V__aug-cc-pVTZ,IE-IL174-128,IL174,-77.53143357,-76.191,-1.340433569,1.340433569
wB97M-V__aug-cc-pVTZ,IE-IL174-129,IL174,-78.18978373,-76.888,-1.301783735,1.301783735
wB97M-V__aug-cc-pVTZ,IE-IL174-130,IL174,-83.31761323,-81.785,-1.532613234,1.532613234
wB97M-V__aug-cc-pVTZ,IE-IL174-131,IL174,-79.48269914,-78.125,-1.357699139,1.357699139
wB97M-V__aug-cc-pVTZ,IE-IL174-132,IL174,-81.23136703,-79.862,-1.36936703,1.36936703
wB97M-V__aug-cc-pVTZ,IE-IL174-133,IL174,-94.88468391,-94.042,-0.842683906,0.842683906
wB97M-V__aug-cc-pVTZ,IE-IL174-134,IL174,-90.62300602,-89.801,-0.822006024,0.822006024
wB97M-V__aug-cc-pVTZ,IE-IL174-135,IL174,-91.9609356,-90.245,-1.715935599,1.715935599
wB97M-V__aug-cc-pVTZ,IE-IL174-136,IL174,-91.18921917,-89.58,-1.609219167,1.609219167
wB97M-V__aug-cc-pVTZ,IE-IL174-137,IL174,-93.20607565,-93.444,0.23792435,0.23792435
wB97M-V__aug-cc-pVTZ,IE-IL174-138,IL174,-91.76559989,-92.323,0.557400111,0.557400111
wB97M-V__aug-cc-pVTZ,IE-IL174-139,IL174,-91.58187882,-92.067,0.485121183,0.485121183
wB97M-V__aug-cc-pVTZ,IE-IL174-140,IL174,-94.71508614,-94.848,0.132913856,0.132913856
wB97M-V__aug-cc-pVTZ,IE-IL174-141,IL174,-96.79237502,-97.173,0.380624983,0.380624983
