id,level,ae_pred_kcalmol,true_kcalmol,error_kcalmol,abs_error_kcalmol
AE-TAE140-2,wB97M-V__aug-cc-pVTZ,-211.76579770579642,-213.169,1.403202294203595,1.403202294203595
AE-TAE140-124,wB97M-V__aug-cc-pVTZ,-62.46199937628845,-62.8,0.3380006237115438,0.3380006237115438
AE-TAE140-86,wB97M-V__aug-cc-pVTZ,-386.05877179177577,-386.087,0.028228208224220452,0.028228208224220452
AE-TAE140-99,wB97M-V__aug-cc-pVTZ,-352.584427206857,-350.149,-2.435427206857014,2.435427206857014
AE-TAE140-15,wB97M-V__aug-cc-pVTZ,-712.0452106462433,-713.08,1.0347893537567643,1.0347893537567643
AE-TAE140-33,wB97M-V__aug-cc-pVTZ,-484.6340396064286,-482.276,-2.3580396064285765,2.3580396064285765
AE-TAE140-57,wB97M-V__aug-cc-pVTZ,-184.0762113033926,-182.517,-1.5592113033926012,1.5592113033926012
AE-TAE140-72,wB97M-V__aug-cc-pVTZ,-312.60862269018355,-313.418,0.8093773098164547,0.8093773098164547
AE-TAE140-97,wB97M-V__aug-cc-pVTZ,-177.47450167922784,-175.533,-1.941501679227855,1.941501679227855
AE-TAE140-38,wB97M-V__aug-cc-pVTZ,-107.37837276247893,-107.208,-0.17037276247893374,0.17037276247893374
AE-TAE140-23,wB97M-V__aug-cc-pVTZ,-422.43421310603003,-422.959,0.5247868939699742,0.5247868939699742
AE-TAE140-16,wB97M-V__aug-cc-pVTZ,-1006.5976263762304,-1007.909,1.3113736237695548,1.3113736237695548
AE-TAE140-1,wB97M-V__aug-cc-pVTZ,-108.4999397927359,-109.493,0.9930602072640937,0.9930602072640937
AE-TAE140-25,wB97M-V__aug-cc-pVTZ,-299.1789014133714,-298.018,-1.1609014133714481,1.1609014133714481
AE-TAE140-91,wB97M-V__aug-cc-pVTZ,-500.8092832825127,-502.037,1.227716717487283,1.227716717487283
AE-TAE140-100,wB97M-V__aug-cc-pVTZ,-206.4822394538706,-205.89,-0.5922394538706044,0.5922394538706044
AE-TAE140-101,wB97M-V__aug-cc-pVTZ,-158.46615853554636,-158.653,0.1868414644536358,0.1868414644536358
AE-TAE140-75,wB97M-V__aug-cc-pVTZ,-279.1927370647978,-279.422,0.22926293520220042,0.22926293520220042
AE-TAE140-94,wB97M-V__aug-cc-pVTZ,-334.68364312661515,-335.747,1.063356873384862,1.063356873384862
AE-TAE140-22,wB97M-V__aug-cc-pVTZ,-583.6111450115741,-582.301,-1.3101450115740363,1.3101450115740363
AE-TAE140-58,wB97M-V__aug-cc-pVTZ,-226.3501175236461,-225.274,-1.0761175236461042,1.0761175236461042
AE-TAE140-92,wB97M-V__aug-cc-pVTZ,-229.3575878673998,-228.485,-0.8725878673997727,0.8725878673997727
AE-TAE140-133,wB97M-V__aug-cc-pVTZ,-95.19757602777274,-93.78,-1.4175760277727392,1.4175760277727392
AE-TAE140-62,wB97M-V__aug-cc-pVTZ,-123.27718817455295,-122.618,-0.659188174552952,0.659188174552952
AE-TAE140-134,wB97M-V__aug-cc-pVTZ,-55.956946059270706,-67.459,11.502053940729297,11.502053940729297
AE-TAE140-69,wB97M-V__aug-cc-pVTZ,-249.64994082276178,-248.059,-1.5909408227617803,1.5909408227617803
AE-TAE140-24,wB97M-V__aug-cc-pVTZ,-860.1686310873963,-861.578,1.409368912603668,1.409368912603668
AE-TAE140-132,wB97M-V__aug-cc-pVTZ,-116.24372360799677,-128.12,11.876276392003234,11.876276392003234
AE-TAE140-14,wB97M-V__aug-cc-pVTZ,-243.76279509139204,-242.267,-1.49579509139204,1.49579509139204
AE-TAE140-48,wB97M-V__aug-cc-pVTZ,-306.59501066858684,-309.099,2.503989331413152,2.503989331413152
